Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
1,2008,Season 1,Bengaluru,18-04-2008,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Fielding,Kolkata Knight Riders,Away Win,Runs,140,Dominating Win,223,20,No,Normal
2,2008,Season 1,Chandigarh,19-04-2008,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Bating,Chennai Super Kings,Away Win,Runs,33,Moderate Win,241,20,No,Normal
3,2008,Season 1,Delhi,19-04-2008,League,MF Maharoof,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Bating,Delhi Capitals,Home Win,wickets,9,Dominating Win,130,20,No,Normal
4,2008,Season 1,Mumbai,20-04-2008,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Bating,Royal Challengers Bengaluru,Away Win,wickets,5,Moderate Win,166,20,No,Normal
5,2008,Season 1,Kolkata,20-04-2008,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Bating,Kolkata Knight Riders,Home Win,wickets,5,Moderate Win,111,20,No,Normal
6,2008,Season 1,Jaipur,21-04-2008,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,Bating,Rajasthan Royals,Home Win,wickets,6,Moderate Win,167,20,No,Normal
7,2008,Season 1,Hyderabad,22-04-2008,League,V Sehwag,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,Bating,Delhi Capitals,Away Win,wickets,9,Dominating Win,143,20,No,Normal
8,2008,Season 1,Chennai,23-04-2008,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Fielding,Chennai Super Kings,Home Win,Runs,6,Close Match,209,20,No,Normal
9,2008,Season 1,Hyderabad,24-04-2008,League,YK Pathan,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,3,Close Match,215,20,No,Normal
10,2008,Season 1,Chandigarh,25-04-2008,League,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,Fielding,Punjab Kings,Home Win,Runs,66,Dominating Win,183,20,No,Normal
11,2008,Season 1,Bengaluru,26-04-2008,League,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,7,Dominating Win,136,20,No,Normal
12,2008,Season 1,Chennai,26-04-2008,League,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Chennai Super Kings,Home Win,wickets,9,Dominating Win,148,20,No,Normal
13,2008,Season 1,Mumbai,27-04-2008,League,AC Gilchrist,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Deccan Chargers,Deccan Chargers,Fielding,Deccan Chargers,Away Win,wickets,10,Dominating Win,155,20,No,Normal
14,2008,Season 1,Chandigarh,27-04-2008,League,SM Katich,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Delhi Capitals,Bating,Punjab Kings,Home Win,wickets,4,Moderate Win,159,20,No,Normal
15,2008,Season 1,Bengaluru,28-04-2008,League,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Bating,Chennai Super Kings,Away Win,Runs,13,Moderate Win,179,20,No,Normal
16,2008,Season 1,Kolkata,29-04-2008,League,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bating,Mumbai Indians,Away Win,wickets,7,Dominating Win,138,20,No,Normal
17,2008,Season 1,Delhi,30-04-2008,League,GD McGrath,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Delhi Capitals,Home Win,Runs,10,Close Match,192,20,No,Normal
18,2008,Season 1,Hyderabad,01-05-2008,League,SE Marsh,Rajiv Gandhi International Stadium,Deccan Chargers,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,7,Dominating Win,165,20,No,Normal
19,2008,Season 1,Jaipur,01-05-2008,League,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bating,Rajasthan Royals,Home Win,Runs,45,Moderate Win,197,20,No,Normal
20,2008,Season 1,Chennai,02-05-2008,League,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Bating,Delhi Capitals,Away Win,wickets,8,Dominating Win,170,20,No,Normal
21,2008,Season 1,Chandigarh,03-05-2008,League,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Punjab Kings,Bating,Punjab Kings,Home Win,Runs,9,Close Match,179,20,No,Normal
22,2008,Season 1,Bengaluru,03-05-2008,League,P Kumar,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,Fielding,Royal Challengers Bengaluru,Home Win,Runs,3,Close Match,157,20,No,Normal
23,2008,Season 1,Mumbai,04-05-2008,League,SM Pollock,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Fielding,Mumbai Indians,Home Win,Runs,29,Moderate Win,163,20,No,Normal
24,2008,Season 1,Jaipur,04-05-2008,League,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Bating,Rajasthan Royals,Home Win,wickets,8,Dominating Win,110,20,No,Normal
